Campaign Name,Cost
"US-META-AO-AO-CV-ROI-PP-Image-LL-20251001-PP-MaxCov.",26179.74
"US-META-AO-AO-CV-ROI-All-Image-RT-20250401-All-Manual-MaxCov.",15901.63
"US-META-AO-AO-CV-ROI-All-Image-RT-20250616-All-Adv-GOCAI2.0-MaxValue",14107.81
"US-META-AO-AO-CV-ROI-All-Image-RT-20250701-All-Adv-Disaster-MaxCov.",13185.44
"US-META-AO-AO-CV-ROI-PP-Mixed-BA-20250626-PP-DABA-MaxCov.",12650.49
"US-META-AO-AO-CV-ROI-All-Image-RT-20250705-All-Adv-GOCAI1.0-MaxValue",11770.28
"US-META-AO-AO-CV-ROI-PP-Mixed-RT-20250303-PP-DPA-MaxCov.",10787.61
"US-META-AO-AO-CV-ROI-All-Mixed-Mix-20250725-All-Adv-RTIG-MaxCov.",9113.82
"US-META-AO-AO-CV-ROI-DIY-Image-LL-20251013-DPU&DPUX-MaxCov.",8024.49
"US-META-AO-AO-LD-LD-DIY-Image-Mix-20251201-DPUX-IGLL",7428.88
"US-META-AO-AO-CV-ROI-DIY-Mixed-BA-20251103-DPU&DPUX-DABA-MaxCov.",5548.99
"US-META-AO-AO-CV-ROI-All-Image-IG-20250919-All-MaxCov.",3826.93
"US-META-AO-AO-CV-ROI-DIY-Mixed-RT-20251103-DPU&DPUX-DPA-MaxCov.",3164.26
"US-META-AO-AO-CV-ROI-DIY-Image-RT-20251013-DPUX-Manual-MaxValue",2430.36
"US-META-AO-AO-CV-ROI-DIY-Image-RT-20251013-DPUX-Adv-MaxValue",1481.00